name,gender,country,occupation,birth_date,death_date,image_url,description
Ahmed Gouda Hussein,male,Egypt,physician,1942,2006,,"Ahmed Gouda Ahmed Ali Hussein was an Egyptian geophysicist from Sharqia who worked at the National Research Institute of Astronomy and Geophysics and collaborated with German research institutions. He also served as Assistant President of theEgypt, Academy of Scientific Research and Technology"
Boutros Boutros-Ghali,male,Egypt,writer,1922,2016,http://commons.wikimedia.org/wiki/Special:FilePath/Boutros%20Boutros%20Ghali%20%281993%29.jpg,"Boutros Boutros-Ghali was an Egyptian politician and diplomat who served as the sixth secretary-general of the United Nations from 1992 to 1996. Prior to his appointment as secretary-general, Boutros-Ghali was the acting minister of foreign affairs of Egypt between 1977 and 1979. He oversaw the United Nations over a period coinciding with several world crises, including the breakup of Yugoslavia and the Rwandan genocide."
Boutros Boutros-Ghali,male,Egypt,politician,1922,2016,http://commons.wikimedia.org/wiki/Special:FilePath/Boutros%20Boutros%20Ghali%20%281993%29.jpg,"Boutros Boutros-Ghali was an Egyptian politician and diplomat who served as the sixth secretary-general of the United Nations from 1992 to 1996. Prior to his appointment as secretary-general, Boutros-Ghali was the acting minister of foreign affairs of Egypt between 1977 and 1979. He oversaw the United Nations over a period coinciding with several world crises, including the breakup of Yugoslavia and the Rwandan genocide."
Boutros Boutros-Ghali,male,Egypt,jurist,1922,2016,http://commons.wikimedia.org/wiki/Special:FilePath/Boutros%20Boutros%20Ghali%20%281993%29.jpg,"Boutros Boutros-Ghali was an Egyptian politician and diplomat who served as the sixth secretary-general of the United Nations from 1992 to 1996. Prior to his appointment as secretary-general, Boutros-Ghali was the acting minister of foreign affairs of Egypt between 1977 and 1979. He oversaw the United Nations over a period coinciding with several world crises, including the breakup of Yugoslavia and the Rwandan genocide."
Boutros Boutros-Ghali,male,Egypt,diplomat,1922,2016,http://commons.wikimedia.org/wiki/Special:FilePath/Boutros%20Boutros%20Ghali%20%281993%29.jpg,"Boutros Boutros-Ghali was an Egyptian politician and diplomat who served as the sixth secretary-general of the United Nations from 1992 to 1996. Prior to his appointment as secretary-general, Boutros-Ghali was the acting minister of foreign affairs of Egypt between 1977 and 1979. He oversaw the United Nations over a period coinciding with several world crises, including the breakup of Yugoslavia and the Rwandan genocide."
Boutros Boutros-Ghali,male,Egypt,university teacher,1922,2016,http://commons.wikimedia.org/wiki/Special:FilePath/Boutros%20Boutros%20Ghali%20%281993%29.jpg,"Boutros Boutros-Ghali was an Egyptian politician and diplomat who served as the sixth secretary-general of the United Nations from 1992 to 1996. Prior to his appointment as secretary-general, Boutros-Ghali was the acting minister of foreign affairs of Egypt between 1977 and 1979. He oversaw the United Nations over a period coinciding with several world crises, including the breakup of Yugoslavia and the Rwandan genocide."
Mohamed Morsi,male,Egypt,engineer,1951,2019,http://commons.wikimedia.org/wiki/Special:FilePath/Mohamed%20Morsi%20official%20portrait.jpg,"Mohamed Mohamed Morsi Eissa Al-Ayyat was an Egyptian politician, engineer, and professor who was the fifth president of Egypt from 2012 to 2013, when General Abdel Fattah el-Sisi removed him from office in a coup d'état after protests in June. Affiliated with the Muslim Brotherhood organization, Morsi led the Freedom and Justice Party from 2011 to 2012."
Mohamed Morsi,male,Egypt,politician,1951,2019,http://commons.wikimedia.org/wiki/Special:FilePath/Mohamed%20Morsi%20official%20portrait.jpg,"Mohamed Mohamed Morsi Eissa Al-Ayyat was an Egyptian politician, engineer, and professor who was the fifth president of Egypt from 2012 to 2013, when General Abdel Fattah el-Sisi removed him from office in a coup d'état after protests in June. Affiliated with the Muslim Brotherhood organization, Morsi led the Freedom and Justice Party from 2011 to 2012."
Mohamed Morsi,male,Egypt,university teacher,1951,2019,http://commons.wikimedia.org/wiki/Special:FilePath/Mohamed%20Morsi%20official%20portrait.jpg,"Mohamed Mohamed Morsi Eissa Al-Ayyat was an Egyptian politician, engineer, and professor who was the fifth president of Egypt from 2012 to 2013, when General Abdel Fattah el-Sisi removed him from office in a coup d'état after protests in June. Affiliated with the Muslim Brotherhood organization, Morsi led the Freedom and Justice Party from 2011 to 2012."
Mohamed Morsi,male,Egypt,materials scientist,1951,2019,http://commons.wikimedia.org/wiki/Special:FilePath/Mohamed%20Morsi%20official%20portrait.jpg,"Mohamed Mohamed Morsi Eissa Al-Ayyat was an Egyptian politician, engineer, and professor who was the fifth president of Egypt from 2012 to 2013, when General Abdel Fattah el-Sisi removed him from office in a coup d'état after protests in June. Affiliated with the Muslim Brotherhood organization, Morsi led the Freedom and Justice Party from 2011 to 2012."
